msl_trend,latbin,lonbin
1.4424831,-74.0,-114.0
0.7288087,-73.0,-128.0
0.7874876,-73.0,-127.0
0.8478087,-73.0,-126.0
0.93142784,-73.0,-125.0
1.0747081,-73.0,-124.0
1.4674369,-73.0,-117.0
1.472544,-73.0,-116.0
1.4968251,-73.0,-115.0
1.4543351,-73.0,-114.0
1.5442259,-73.0,-113.0
1.6735984,-73.0,-112.0
1.8760748,-73.0,-87.0
1.9388527,-73.0,-86.0
1.9230437,-73.0,-85.0
1.8725693,-73.0,-84.0
3.866925,-73.0,172.0
3.6182952,-73.0,173.0
3.4425917,-73.0,174.0
0.42678565,-72.0,-126.0
0.56710833,-72.0,-125.0
0.6770259,-72.0,-124.0
0.72187793,-72.0,-123.0
0.799588,-72.0,-122.0
0.8428195,-72.0,-121.0
0.8659704,-72.0,-120.0
0.8919307,-72.0,-119.0
0.93852794,-72.0,-118.0
1.0976958,-72.0,-117.0
1.2172974,-72.0,-116.0
1.2806634,-72.0,-115.0
1.2874646,-72.0,-114.0
1.3182639,-72.0,-113.0
1.4026854,-72.0,-112.0
1.4780283,-72.0,-111.0
1.456193,-72.0,-110.0
1.4671229,-72.0,-109.0
1.4708499,-72.0,-108.0
1.5261148,-72.0,-107.0
1.6250408,-72.0,-106.0
1.9308168,-72.0,-88.0
2.0227447,-72.0,-87.0
2.1018736,-72.0,-86.0
2.08366,-72.0,-85.0
2.0855007,-72.0,-84.0
2.0463285,-72.0,-83.0
2.0720284,-72.0,-82.0
2.0085227,-72.0,-81.0
1.9017897,-72.0,-80.0
1.8753792,-72.0,-79.0
1.808965,-72.0,-78.0
1.8399807,-72.0,-77.0
3.431785,-72.0,172.0
3.1781104,-72.0,173.0
2.982344,-72.0,174.0
2.9824417,-72.0,175.0
3.0401297,-72.0,176.0
1.0713488,-71.0,-141.0
0.8883821,-71.0,-140.0
0.780378,-71.0,-139.0
0.7133441,-71.0,-138.0
0.49771184,-71.0,-126.0
0.6239694,-71.0,-125.0
0.65516436,-71.0,-124.0
0.6734889,-71.0,-123.0
0.75745904,-71.0,-122.0
0.84846133,-71.0,-121.0
0.8907575,-71.0,-120.0
0.87701255,-71.0,-119.0
0.78821194,-71.0,-118.0
0.83495724,-71.0,-117.0
0.9424789,-71.0,-116.0
0.96929556,-71.0,-115.0
1.0374298,-71.0,-114.0
1.1380162,-71.0,-113.0
1.2459143,-71.0,-112.0
1.3361024,-71.0,-111.0
1.4590973,-71.0,-110.0
1.5146303,-71.0,-109.0
1.5663056,-71.0,-108.0
1.659266,-71.0,-107.0
1.7313797,-71.0,-106.0
1.6947924,-71.0,-105.0
1.8759023,-71.0,-104.0
1.9122679,-71.0,-103.0
1.9264232,-71.0,-102.0
1.90095,-71.0,-101.0
1.8367229,-71.0,-100.0
1.8314822,-71.0,-99.0
1.8575459,-71.0,-98.0
1.7733766,-71.0,-89.0
1.9011427,-71.0,-88.0
1.941362,-71.0,-87.0
1.8456174,-71.0,-86.0
2.1302178,-71.0,-85.0
2.2327087,-71.0,-84.0
2.3317604,-71.0,-83.0
2.2429512,-71.0,-82.0
2.1508796,-71.0,-81.0
2.0153701,-71.0,-80.0
1.9757831,-71.0,-79.0
1.9783733,-71.0,-78.0
2.0484624,-71.0,-77.0
2.0963256,-71.0,-76.0
2.065736,-71.0,-75.0
2.0966656,-71.0,-74.0
2.371856,-71.0,-30.0
2.3566186,-71.0,-29.0
2.359743,-71.0,-28.0
2.3731287,-71.0,-27.0
2.4046297,-71.0,-26.0
2.4005976,-71.0,-25.0
2.392504,-71.0,-24.0
2.404501,-71.0,-23.0
2.421037,-71.0,-22.0
2.5767274,-71.0,-21.0
2.9991004,-71.0,172.0
2.9271002,-71.0,173.0
2.978297,-71.0,174.0
3.0150018,-71.0,175.0
2.964667,-71.0,176.0
2.944317,-71.0,177.0
1.6913679,-70.0,-152.0
1.6574178,-70.0,-151.0
1.619774,-70.0,-150.0
1.6977726,-70.0,-149.0
1.7483896,-70.0,-148.0
1.7252759,-70.0,-147.0
1.6676812,-70.0,-146.0
1.7674022,-70.0,-145.0
1.89401,-70.0,-144.0
1.8581309,-70.0,-143.0
1.7874407,-70.0,-142.0
1.7504656,-70.0,-141.0
1.6827977,-70.0,-140.0
1.2675792,-70.0,-139.0
0.65970355,-70.0,-138.0
0.38129976,-70.0,-137.0
0.3638027,-70.0,-136.0
0.47602704,-70.0,-135.0
0.50526446,-70.0,-134.0
0.4523021,-70.0,-133.0
0.491525,-70.0,-132.0
0.5806531,-70.0,-131.0
0.6969617,-70.0,-130.0
0.77340215,-70.0,-129.0
0.87921774,-70.0,-128.0
0.91550356,-70.0,-127.0
0.94010115,-70.0,-126.0
0.9189238,-70.0,-125.0
0.9327182,-70.0,-124.0
0.9405193,-70.0,-123.0
0.9123341,-70.0,-122.0
0.8595637,-70.0,-121.0
0.79094183,-70.0,-120.0
0.71259445,-70.0,-119.0
0.73787606,-70.0,-118.0
0.7887935,-70.0,-117.0
0.8016929,-70.0,-116.0
0.87298584,-70.0,-115.0
0.93791705,-70.0,-114.0
0.9083414,-70.0,-113.0
0.87163687,-70.0,-112.0
0.89822054,-70.0,-111.0
0.88090444,-70.0,-110.0
0.89347166,-70.0,-109.0
0.94257325,-70.0,-108.0
1.1788794,-70.0,-107.0
1.3490169,-70.0,-106.0
1.6631955,-70.0,-105.0
1.7461913,-70.0,-104.0
1.801778,-70.0,-103.0
1.9194582,-70.0,-102.0
1.8964808,-70.0,-101.0
1.8998692,-70.0,-100.0
1.9453408,-70.0,-99.0
1.8505366,-70.0,-98.0
1.7305442,-70.0,-97.0
1.7982267,-70.0,-96.0
1.9084824,-70.0,-95.0
1.9203342,-70.0,-94.0
1.9068274,-70.0,-93.0
1.8426993,-70.0,-92.0
1.76618,-70.0,-91.0
1.8508358,-70.0,-90.0
1.9511621,-70.0,-89.0
1.8830434,-70.0,-88.0
1.7089752,-70.0,-87.0
1.6132299,-70.0,-86.0
1.8791083,-70.0,-85.0
1.9690233,-70.0,-84.0
2.087303,-70.0,-83.0
2.232607,-70.0,-82.0
2.3620694,-70.0,-81.0
2.4438303,-70.0,-80.0
2.4412339,-70.0,-79.0
2.4085257,-70.0,-78.0
2.373425,-70.0,-77.0
2.3612196,-70.0,-76.0
2.6002402,-70.0,-69.0
2.0024931,-70.0,-32.0
2.0233643,-70.0,-31.0
2.0775976,-70.0,-30.0
2.1181996,-70.0,-29.0
2.1772435,-70.0,-28.0
2.2330048,-70.0,-27.0
2.2703974,-70.0,-26.0
2.3045282,-70.0,-25.0
2.3221273,-70.0,-24.0
2.336626,-70.0,-23.0
2.3738823,-70.0,-22.0
2.4164314,-70.0,-21.0
2.4358191,-70.0,-20.0
2.4408512,-70.0,-19.0
2.4365478,-70.0,-18.0
2.4487784,-70.0,-17.0
2.4678524,-70.0,-16.0
2.5026975,-70.0,-15.0
2.5481746,-70.0,-14.0
2.5712614,-70.0,-13.0
2.5904078,-70.0,-12.0
2.634562,-70.0,-11.0
2.7540035,-70.0,-10.0
2.847251,-70.0,-9.0
2.8992364,-70.0,-8.0
2.989302,-70.0,-3.0
2.956545,-70.0,-2.0
2.9373002,-70.0,-1.0
2.9831731,-70.0,1.0
3.025044,-70.0,2.0
3.0032184,-70.0,3.0
2.985555,-70.0,4.0
2.982418,-70.0,5.0
2.9270267,-70.0,6.0
2.9081614,-70.0,7.0
2.906386,-70.0,8.0
2.775413,-70.0,18.0
2.8527281,-70.0,19.0
2.8286574,-70.0,20.0
2.7013857,-70.0,21.0
2.628245,-70.0,22.0
2.6794019,-70.0,23.0
2.78847,-70.0,174.0
2.7379944,-70.0,175.0
2.7427914,-70.0,176.0
2.69126,-70.0,177.0
2.679437,-70.0,178.0
2.7354512,-70.0,179.0
2.4276333,-69.0,-180.0
2.2637558,-69.0,-179.0
2.2579281,-69.0,-162.0
2.3065016,-69.0,-161.0
2.3505554,-69.0,-160.0
2.3040254,-69.0,-159.0
2.2523203,-69.0,-158.0
2.212759,-69.0,-157.0
2.1745174,-69.0,-156.0
2.0894542,-69.0,-155.0
2.020924,-69.0,-154.0
1.927826,-69.0,-153.0
1.8118241,-69.0,-152.0
1.6775326,-69.0,-151.0
1.5053539,-69.0,-150.0
1.3210605,-69.0,-149.0
1.2460365,-69.0,-148.0
1.2658376,-69.0,-147.0
1.2532296,-69.0,-146.0
1.1593634,-69.0,-145.0
1.1664418,-69.0,-144.0
1.2960383,-69.0,-143.0
1.1423833,-69.0,-142.0
0.82661784,-69.0,-141.0
0.65780723,-69.0,-140.0
0.4335304,-69.0,-139.0
0.47234017,-69.0,-138.0
0.912917,-69.0,-137.0
1.2398341,-69.0,-136.0
1.1736891,-69.0,-135.0
1.0500994,-69.0,-134.0
0.9404023,-69.0,-133.0
0.8439067,-69.0,-132.0
0.75552756,-69.0,-131.0
0.7586632,-69.0,-130.0
0.78135705,-69.0,-129.0
0.76672715,-69.0,-128.0
0.76531583,-69.0,-127.0
0.8307988,-69.0,-126.0
0.85333306,-69.0,-125.0
0.81913984,-69.0,-124.0
0.7386678,-69.0,-123.0
0.7855522,-69.0,-122.0
0.8544525,-69.0,-121.0
0.8678427,-69.0,-120.0
0.86291677,-69.0,-119.0
0.7429102,-69.0,-118.0
0.6979637,-69.0,-117.0
0.7389066,-69.0,-116.0
0.76010156,-69.0,-115.0
0.8604092,-69.0,-114.0
0.8784932,-69.0,-113.0
0.782206,-69.0,-112.0
0.5558246,-69.0,-111.0
0.51587605,-69.0,-110.0
0.62433094,-69.0,-109.0
0.58552414,-69.0,-108.0
0.656175,-69.0,-107.0
0.69587135,-69.0,-106.0
0.804932,-69.0,-105.0
0.9325936,-69.0,-104.0
1.0900282,-69.0,-103.0
1.1435347,-69.0,-102.0
1.0617337,-69.0,-101.0
1.4690841,-69.0,-100.0
1.808731,-69.0,-99.0
1.9692333,-69.0,-98.0
2.1597123,-69.0,-97.0
1.8447349,-69.0,-96.0
1.2764448,-69.0,-95.0
1.3381103,-69.0,-94.0
1.5052484,-69.0,-93.0
1.5192333,-69.0,-92.0
1.4838021,-69.0,-91.0
1.7178104,-69.0,-90.0
1.6767691,-69.0,-89.0
1.4828652,-69.0,-88.0
1.4543525,-69.0,-87.0
1.564744,-69.0,-86.0
1.7177706,-69.0,-85.0
1.7158272,-69.0,-84.0
1.8327445,-69.0,-83.0
2.0046132,-69.0,-82.0
2.0442064,-69.0,-81.0
2.1105177,-69.0,-80.0
2.0983286,-69.0,-79.0
2.1656566,-69.0,-78.0
2.4051352,-69.0,-77.0
2.435728,-69.0,-76.0
2.5389478,-69.0,-75.0
2.5355504,-69.0,-74.0
2.5560024,-69.0,-73.0
2.6337433,-69.0,-72.0
2.6703324,-69.0,-71.0
2.6556313,-69.0,-70.0
2.6223292,-69.0,-69.0
2.595583,-69.0,-68.0
2.6029708,-69.0,-67.0
1.9262457,-69.0,-38.0
1.8526701,-69.0,-33.0
1.8877505,-69.0,-32.0
1.9210722,-69.0,-31.0
1.9540398,-69.0,-30.0
2.030599,-69.0,-29.0
2.1039777,-69.0,-28.0
2.1440625,-69.0,-27.0
2.1833575,-69.0,-26.0
2.212068,-69.0,-25.0
2.2487867,-69.0,-24.0
2.2825332,-69.0,-23.0
2.3310199,-69.0,-22.0
2.3769627,-69.0,-21.0
2.4140313,-69.0,-20.0
2.4334898,-69.0,-19.0
2.4226441,-69.0,-18.0
2.4115517,-69.0,-17.0
2.4169862,-69.0,-16.0
2.4463418,-69.0,-15.0
2.4935117,-69.0,-14.0
2.5299292,-69.0,-13.0
2.552289,-69.0,-12.0
2.5755203,-69.0,-11.0
2.6149683,-69.0,-10.0
2.6795268,-69.0,-9.0
2.7284732,-69.0,-8.0
2.7842689,-69.0,-7.0
2.8481345,-69.0,-6.0
2.934887,-69.0,-5.0
2.9808364,-69.0,-4.0
3.0183492,-69.0,-3.0
3.0402703,-69.0,-2.0
3.0324945,-69.0,-1.0
3.021746,-69.0,0.0
2.9868608,-69.0,1.0
2.9667418,-69.0,2.0
2.9938726,-69.0,3.0
3.0360005,-69.0,4.0
3.06875,-69.0,5.0
3.0649428,-69.0,6.0
3.0238876,-69.0,7.0
2.9928353,-69.0,8.0
2.9695876,-69.0,9.0
2.9430325,-69.0,10.0
2.9314039,-69.0,11.0
2.9386322,-69.0,12.0
2.871753,-69.0,13.0
2.8210397,-69.0,14.0
2.796475,-69.0,15.0
2.783972,-69.0,16.0
2.763531,-69.0,17.0
2.736183,-69.0,18.0
2.6966867,-69.0,19.0
2.6684496,-69.0,20.0
2.6163754,-69.0,21.0
2.5521743,-69.0,22.0
2.4943604,-69.0,23.0
2.475132,-69.0,24.0
2.5388887,-69.0,25.0
2.6232016,-69.0,26.0
2.686319,-69.0,27.0
2.7092283,-69.0,28.0
2.7059717,-69.0,29.0
2.662181,-69.0,30.0
2.647273,-69.0,31.0
2.8435116,-69.0,32.0
2.6354144,-69.0,38.0
2.7482193,-69.0,39.0
2.7811236,-69.0,40.0
4.0013747,-69.0,74.0
3.9934332,-69.0,75.0
2.336179,-69.0,156.0
2.4617515,-69.0,157.0
2.5521955,-69.0,158.0
2.6247935,-69.0,162.0
2.7373464,-69.0,163.0
2.8065746,-69.0,164.0
2.6802814,-69.0,172.0
2.7722595,-69.0,173.0
2.8479793,-69.0,174.0
2.8106704,-69.0,175.0
2.7759469,-69.0,176.0
2.765865,-69.0,177.0
2.731863,-69.0,178.0
2.6225824,-69.0,179.0
2.463033,-68.0,-180.0
2.4818013,-68.0,-179.0
2.4625006,-68.0,-178.0
2.4790092,-68.0,-177.0
2.477888,-68.0,-176.0
2.4461896,-68.0,-175.0
2.3826556,-68.0,-174.0
2.367427,-68.0,-173.0
2.299597,-68.0,-172.0
2.222329,-68.0,-171.0
2.111334,-68.0,-170.0
2.076165,-68.0,-169.0
2.099777,-68.0,-168.0
2.123097,-68.0,-167.0
2.1545324,-68.0,-166.0
2.1441476,-68.0,-165.0
2.1569438,-68.0,-164.0
2.219657,-68.0,-163.0
2.27781,-68.0,-162.0
2.3008032,-68.0,-161.0
2.2679327,-68.0,-160.0
2.2444794,-68.0,-159.0
2.2066417,-68.0,-158.0
2.1394317,-68.0,-157.0
2.0789402,-68.0,-156.0
1.9618695,-68.0,-155.0
1.852823,-68.0,-154.0
1.8052105,-68.0,-153.0
1.7525611,-68.0,-152.0
1.6954437,-68.0,-151.0
1.6079705,-68.0,-150.0
1.5068574,-68.0,-149.0
1.3745549,-68.0,-148.0
1.2434732,-68.0,-147.0
1.2307314,-68.0,-146.0
1.3283685,-68.0,-145.0
1.2674533,-68.0,-144.0
0.98971385,-68.0,-143.0
0.623895,-68.0,-142.0
0.5107378,-68.0,-141.0
0.814156,-68.0,-140.0
1.0321733,-68.0,-139.0
1.1994694,-68.0,-138.0
1.2975696,-68.0,-137.0
1.1457351,-68.0,-136.0
1.0281543,-68.0,-135.0
1.0486403,-68.0,-134.0
0.8639233,-68.0,-133.0
0.73474616,-68.0,-132.0
0.78201914,-68.0,-131.0
0.9498843,-68.0,-130.0
0.9393652,-68.0,-129.0
0.82396597,-68.0,-128.0
0.77937764,-68.0,-127.0
0.7884276,-68.0,-126.0
0.7852938,-68.0,-125.0
0.7457916,-68.0,-124.0
0.8302862,-68.0,-123.0
0.9452187,-68.0,-122.0
0.8941958,-68.0,-121.0
0.7850412,-68.0,-120.0
0.78659475,-68.0,-119.0
0.81410605,-68.0,-118.0
0.8092934,-68.0,-117.0
0.69994324,-68.0,-116.0
0.387348,-68.0,-115.0
0.27618966,-68.0,-114.0
0.4539066,-68.0,-113.0
0.46985048,-68.0,-112.0
0.58585274,-68.0,-111.0
0.81221277,-68.0,-110.0
0.95087016,-68.0,-109.0
1.0312202,-68.0,-108.0
0.954046,-68.0,-107.0
1.7688998,-68.0,-106.0
2.7754145,-68.0,-105.0
2.7838728,-68.0,-104.0
2.5237079,-68.0,-103.0
1.7179271,-68.0,-102.0
0.8069933,-68.0,-101.0
0.41678348,-68.0,-100.0
0.599149,-68.0,-99.0
1.280964,-68.0,-98.0
1.9327856,-68.0,-97.0
1.746333,-68.0,-96.0
1.4229484,-68.0,-95.0
1.6932443,-68.0,-94.0
1.7406372,-68.0,-93.0
1.5891252,-68.0,-92.0
1.4437972,-68.0,-91.0
1.5163784,-68.0,-90.0
1.8532046,-68.0,-89.0
2.052003,-68.0,-88.0
2.0551233,-68.0,-87.0
