msl_trend,latbin,lonbin
2.7024977,45.0,-20.0
3.2310696,45.0,-19.0
3.995446,45.0,-18.0
3.1630673,45.0,-17.0
2.9444263,45.0,-16.0
3.0848734,45.0,-15.0
3.0732512,45.0,-14.0
3.086804,45.0,-13.0
2.2871249,45.0,-12.0
2.3758936,45.0,-11.0
2.4746408,45.0,-10.0
3.0566578,45.0,-9.0
2.7921898,45.0,-8.0
2.697607,45.0,-7.0
2.5007732,45.0,-6.0
2.330619,45.0,-5.0
2.1395786,45.0,-4.0
1.8157604,45.0,-3.0
1.6782022,45.0,-2.0
4.486697,46.0,-20.0
3.576823,46.0,-19.0
3.6270967,46.0,-18.0
3.247067,46.0,-17.0
3.2778225,46.0,-16.0
3.3276906,46.0,-15.0
3.1958473,46.0,-14.0
4.083105,46.0,-13.0
3.4315238,46.0,-12.0
3.4405544,46.0,-11.0
2.5882668,46.0,-10.0
2.5370088,46.0,-9.0
2.4198854,46.0,-8.0
2.4690776,46.0,-7.0
2.5588987,46.0,-6.0
2.6995454,46.0,-5.0
2.2303581,46.0,-4.0
1.814644,46.0,-3.0
1.3685662,46.0,-2.0
3.9411232,47.0,-20.0
2.3403032,47.0,-19.0
3.1998453,47.0,-18.0
3.1505258,47.0,-17.0
3.6599145,47.0,-16.0
3.6680584,47.0,-15.0
2.1874187,47.0,-14.0
3.1264503,47.0,-13.0
2.902397,47.0,-12.0
3.235677,47.0,-11.0
2.9463696,47.0,-10.0
2.6180067,47.0,-9.0
2.6730504,47.0,-8.0
2.4710965,47.0,-7.0
2.3389654,47.0,-6.0
2.184426,47.0,-5.0
1.9271849,47.0,-4.0
1.9515069,47.0,-3.0
2.8027456,48.0,-20.0
1.5374564,48.0,-19.0
2.8913436,48.0,-18.0
2.920549,48.0,-17.0
3.8347614,48.0,-16.0
4.3844237,48.0,-15.0
2.8636103,48.0,-14.0
3.0304184,48.0,-13.0
2.43988,48.0,-12.0
2.526977,48.0,-11.0
2.6830006,48.0,-10.0
2.5930393,48.0,-9.0
2.4171169,48.0,-8.0
2.3484647,48.0,-7.0
2.3009558,48.0,-6.0
1.7951671,48.0,-5.0
